OrderID,CustomerID,City,OrderDate,Category,Quantity,UnitPrice
ORD-75604,CUST-235,Delhi,2023-01-01,Clothing,7.0,201.84
ORD-68714,CUST-106,Pune,2023-02-09,Clothing,8.0,222.61
ORD-65567,CUST-473,Mumbai,2023-04-10,Home & Kitchen,9.0,232.88
ORD-52229,CUST-754,Chennai,2023-06-17,Clothing,7.0,154.93
ORD-89856,CUST-751,Chennai,2023-04-07,Sports,9.0,254.1
ORD-39606,CUST-194,Mumbai,2023-02-20,Electronics,0.0,282.66
ORD-59414,CUST-771,Bangalore,2023-02-18,Electronics,4.0,86.39
ORD-11545,CUST-328,Delhi,2023-02-02,Books,-1.0,277.88
ORD-62326,CUST-394,Mumbai,2023-11-06,Books,0.0,313.59
ORD-39219,CUST-575,Mumbai,2023-10-07,Electronics,10.0,489.06
ORD-54446,CUST-498,Mumbai,2023-01-25,Electronics,5.0,320.21
ORD-82748,CUST-800,Chennai,2023-10-26,Sports,0.0,385.05
ORD-61345,CUST-592,Bangalore,2023-01-25,Clothing,-2.0,183.09
ORD-34931,CUST-686,Bangalore,2023-06-09,Books,-2.0,311.7
ORD-78740,CUST-318,Pune,2023-10-12,Books,9.0,171.67
ORD-10596,CUST-142,Mumbai,2023-11-11,Sports,6.0,220.68
ORD-35952,CUST-525,Mumbai,2023-03-12,Electronics,8.0,110.89
ORD-35719,CUST-997,Chennai,2023-10-01,Home & Kitchen,6.0,256.74
ORD-86667,CUST-266,Delhi,2023-09-18,Clothing,2.0,294.75
ORD-31223,CUST-602,Bangalore,2023-04-01,Clothing,8.0,335.95
ORD-77192,CUST-322,Delhi,2023-07-17,Sports,-2.0,43.1
ORD-95979,CUST-939,Bangalore,2023-07-18,Books,,273.0
ORD-74012,CUST-513,Pune,2023-09-16,Home & Kitchen,,447.14
ORD-56402,CUST-608,Chennai,2023-07-12,Home & Kitchen,0.0,382.21
ORD-56681,CUST-325,Mumbai,2023-08-03,Sports,4.0,119.73
ORD-19447,CUST-282,Chennai,2023-11-03,Books,6.0,212.65
ORD-3525,CUST-954,Chennai,2023-07-23,Home & Kitchen,6.0,470.07
ORD-31461,CUST-500,Delhi,2023-02-12,Clothing,0.0,346.24
ORD-48640,CUST-607,Mumbai,2023-07-12,Sports,4.0,400.76
ORD-90656,CUST-659,Chennai,2023-03-28,Clothing,5.0,73.41
ORD-9244,CUST-596,Pune,2023-02-03,Home & Kitchen,10.0,267.07
ORD-73104,CUST-615,Chennai,2023-01-07,Electronics,10.0,315.18
ORD-86749,CUST-551,Pune,2023-01-04,Home & Kitchen,10.0,313.01
ORD-51381,CUST-197,Mumbai,2023-03-28,Electronics,8.0,266.25
ORD-35816,CUST-814,Bangalore,2023-04-26,Books,3.0,168.5
ORD-41873,CUST-934,Pune,2023-09-16,Home & Kitchen,2.0,404.3
ORD-80577,CUST-748,Mumbai,2023-02-17,Home & Kitchen,-1.0,462.67
ORD-29640,CUST-391,Mumbai,05/11/2023,Books,3.0,359.75
ORD-36464,CUST-547,Pune,2023-05-19,Electronics,5.0,499.56
ORD-68771,CUST-210,Bangalore,2023-05-07,Books,9.0,272.18
ORD-3130,CUST-125,Pune,2023-05-05,Electronics,3.0,41.2
ORD-97416,CUST-370,Chennai,2023-01-03,Books,3.0,201.66
ORD-41429,CUST-749,Mumbai,2023-02-28,Clothing,1.0,376.89
ORD-5809,CUST-364,Mumbai,2023-05-18,Books,9.0,210.02
ORD-89611,CUST-373,Delhi,2023-12-07,Home & Kitchen,4.0,105.29
ORD-42573,CUST-167,Mumbai,2023-08-10,Home & Kitchen,7.0,243.67
ORD-94478,CUST-237,Bangalore,2023-01-10,Sports,,70.97
ORD-6624,CUST-593,Delhi,2023-12-18,Clothing,9.0,160.09
ORD-5983,CUST-441,Delhi,2023-09-04,Books,4.0,20.87
ORD-25714,CUST-441,Delhi,2023-01-25,Books,-1.0,454.67
ORD-96725,CUST-747,Delhi,2023-04-30,Clothing,1.0,281.4
ORD-59911,CUST-341,Bangalore,2023-06-10,Clothing,0.0,101.17
ORD-82133,CUST-658,Pune,2023-09-17,Books,3.0,30.93
ORD-45277,CUST-443,Bangalore,2023-03-15,Home & Kitchen,9.0,
ORD-89448,CUST-187,Bangalore,2023-03-30,Electronics,2.0,493.75
ORD-94823,CUST-925,Mumbai,2023-04-10,Electronics,2.0,464.01
ORD-9777,CUST-986,Bangalore,10/09/2023,Books,4.0,309.06
ORD-36710,CUST-208,Chennai,2023-03-30,Electronics,-2.0,43.92
ORD-59830,CUST-712,Bangalore,2023-04-20,Electronics,4.0,27.53
ORD-89018,CUST-527,Pune,2023-02-04,Home & Kitchen,6.0,440.26
ORD-62770,CUST-224,Pune,2023-07-21,Books,8.0,13.86
ORD-20432,CUST-461,Bangalore,2023-12-14,Clothing,3.0,372.76
ORD-4776,CUST-700,Delhi,2023-02-08,Clothing,0.0,313.01
ORD-43448,CUST-754,Mumbai,Data Not Found,Clothing,3.0,237.14
ORD-53559,CUST-807,Mumbai,2023-05-13,Home & Kitchen,9.0,350.23
ORD-33669,CUST-439,Chennai,2023-12-06,Home & Kitchen,8.0,382.06
ORD-27645,CUST-563,Chennai,2023-04-07,Books,1.0,484.17
ORD-68937,CUST-343,Chennai,2023-07-13,Sports,6.0,372.66
ORD-30169,CUST-778,Pune,2023-11-07,Clothing,8.0,139.15
ORD-53640,CUST-667,Pune,2023-03-08,Electronics,-2.0,450.75
ORD-78731,CUST-254,Delhi,2023-07-06,Home & Kitchen,-1.0,438.89
ORD-34203,CUST-171,Bangalore,04/11/2023,Electronics,9.0,215.64
