UserID,MovieTitle,Genre,WatchTime_Mins,UserRating,SubscriptionType
U-6811,The Matrix,Sci-Fi,81,,Basic
U-2278,The Matrix,Sci-Fi,37,1.1,Basic
U-8773,Stranger Things,Sci-Fi,83,,Premium
U-7530,Money Heist,Crime,84,4.5,Basic
U-4637,Game of Thrones,Fantasy,159,1.2,Standard
U-5597,Breaking Bad,Crime,104,,Standard
U-3147,Narcos,Crime,82,1.3,Premium
U-1118,The Dark Knight,Action,156,3.8,Standard
U-9401,Friends,Comedy,39,3.4,Basic
U-3677,Stranger Things,Sci-Fi,154,,Basic
U-6826,Narcos,Crime,94,4.6,Standard
U-2449,Friends,Comedy,159,3.4,Standard
U-6628,Stranger Things,Sci-Fi,154,1.2,Premium
U-9532,Stranger Things,Sci-Fi,176,2.3,Basic
U-9854,The Dark Knight,Action,142,3.1,Basic
U-6143,Stranger Things,Sci-Fi,7,3.6,Standard
U-1198,Breaking Bad,Crime,128,3.8,Standard
U-1572,Friends,Comedy,97,3.8,Premium
U-3807,Game of Thrones,Fantasy,152,,Premium
U-8489,Breaking Bad,Crime,117,2.8,Basic
U-4843,The Matrix,Sci-Fi,5,,Premium
U-7041,Game of Thrones,Fantasy,42,2.9,Premium
U-6764,Interstellar,Sci-Fi,158,2.2,Basic
U-6730,Friends,Comedy,142,,Standard
U-9816,The Dark Knight,Action,88,1.9,Basic
U-9856,Inception,Sci-Fi,108,4.7,Premium
U-7575,The Dark Knight,Action,79,2.7,Standard
U-3530,Friends,Comedy,136,3.2,Standard
U-2403,Stranger Things,Sci-Fi,124,2.2,Basic
U-7411,The Matrix,Sci-Fi,107,3.0,Basic
U-4218,Friends,Comedy,135,,Basic
U-4698,Stranger Things,Sci-Fi,129,2.8,Basic
U-4797,Money Heist,Crime,127,1.7,Basic
U-2042,Inception,Sci-Fi,9,2.2,Basic
U-8323,Interstellar,Sci-Fi,12,4.1,Premium
U-5667,Money Heist,Crime,39,4.2,Basic
U-5682,Stranger Things,Sci-Fi,25,,Basic
U-2871,Interstellar,Sci-Fi,22,,Premium
U-5499,The Matrix,Sci-Fi,65,2.4,Standard
U-6275,The Dark Knight,Action,175,3.0,Basic
U-5722,Stranger Things,Sci-Fi,146,3.4,Basic
U-2940,Inception,Sci-Fi,154,,Basic
U-1225,Money Heist,Crime,150,,Standard
U-1375,Game of Thrones,Fantasy,138,2.2,Premium
U-2338,Money Heist,Crime,101,2.1,Basic
U-8280,The Dark Knight,Action,21,,Basic
U-1440,Narcos,Crime,163,4.4,Standard
U-5059,The Dark Knight,Action,39,5.0,Basic
U-2595,Narcos,Crime,167,2.7,Basic
U-3873,Interstellar,Sci-Fi,36,4.6,Basic
U-9386,Inception,Sci-Fi,172,2.2,Basic
U-3818,Narcos,Crime,57,3.0,Standard
U-1277,Narcos,Crime,98,1.3,Standard
U-4018,Inception,Sci-Fi,16,,Basic
U-3358,Narcos,Crime,150,4.0,Basic
U-2161,Stranger Things,Sci-Fi,94,2.2,Basic
U-1449,The Matrix,Sci-Fi,72,3.8,Basic
U-2253,Narcos,Crime,80,1.6,Standard
U-9304,Inception,Sci-Fi,58,3.5,Standard
U-9608,The Dark Knight,Action,14,4.5,Basic
U-6962,Breaking Bad,Crime,171,1.2,Basic
U-7123,Game of Thrones,Fantasy,25,1.6,Standard
U-3371,Breaking Bad,Crime,10,,Basic
U-3843,Narcos,Crime,138,3.5,Basic
U-8512,Money Heist,Crime,144,,Standard
U-1479,Inception,Sci-Fi,51,4.8,Standard
U-9941,Game of Thrones,Fantasy,89,4.8,Basic
U-8319,The Dark Knight,Action,118,1.3,Standard
U-9962,Breaking Bad,Crime,155,2.1,Basic
U-3324,Stranger Things,Sci-Fi,30,5.0,Basic
U-4277,Breaking Bad,Crime,141,1.0,Standard
U-3323,Narcos,Crime,34,3.5,Standard
U-3105,Friends,Comedy,17,1.2,Standard
U-3599,The Dark Knight,Action,135,,Premium
U-8573,Interstellar,Sci-Fi,112,,Standard
U-5934,Money Heist,Crime,53,4.0,Basic
U-4834,The Dark Knight,Action,82,3.3,Standard
U-9856,Narcos,Crime,52,2.9,Basic
U-3839,Money Heist,Crime,179,2.0,Basic
U-1276,Money Heist,Crime,155,,Standard
U-6495,Interstellar,Sci-Fi,140,4.0,Basic
U-6669,Money Heist,Crime,103,4.3,Basic
U-3818,Inception,Sci-Fi,15,2.4,Basic
U-9293,Interstellar,Sci-Fi,111,,Basic
U-6750,Friends,Comedy,142,1.0,Basic
U-4203,Narcos,Crime,129,3.3,Basic
U-1998,Game of Thrones,Fantasy,77,3.5,Standard
U-5805,Interstellar,Sci-Fi,47,2.0,Basic
U-3845,Money Heist,Crime,10,3.8,Basic
U-6877,Stranger Things,Sci-Fi,7,2.6,Basic
U-6457,Stranger Things,Sci-Fi,105,2.5,Basic
U-8018,Narcos,Crime,172,4.1,Basic
U-3525,Narcos,Crime,147,2.0,Basic
U-8494,Narcos,Crime,87,3.6,Basic
U-6842,The Dark Knight,Action,180,3.1,Standard
U-4980,Inception,Sci-Fi,122,,Basic
U-9301,The Matrix,Sci-Fi,123,4.8,Standard
U-9571,Money Heist,Crime,131,3.6,Basic
U-3508,Stranger Things,Sci-Fi,91,3.9,Basic
U-1836,The Dark Knight,Action,143,4.6,Basic
U-8598,Interstellar,Sci-Fi,24,4.3,Premium
U-4878,Narcos,Crime,159,,Basic
U-9209,The Dark Knight,Action,154,3.2,Standard
U-8234,Game of Thrones,Fantasy,119,4.3,Basic
U-9364,The Dark Knight,Action,62,4.9,Premium
U-2216,Friends,Comedy,71,2.5,Premium
U-3882,The Matrix,Sci-Fi,87,1.7,Premium
U-8960,Interstellar,Sci-Fi,29,4.8,Standard
U-7218,The Matrix,Sci-Fi,58,1.3,Standard
U-7367,Inception,Sci-Fi,145,3.7,Basic
U-6774,Money Heist,Crime,32,4.7,Standard
U-7434,Stranger Things,Sci-Fi,142,4.3,Standard
U-7883,Narcos,Crime,92,,Premium
U-8199,Narcos,Crime,37,3.2,Basic
U-7894,Money Heist,Crime,107,3.0,Premium
U-7456,The Matrix,Sci-Fi,140,,Premium
U-1287,The Dark Knight,Action,66,,Standard
U-9965,Game of Thrones,Fantasy,81,,Premium
U-6123,Friends,Comedy,176,,Premium
U-6959,Game of Thrones,Fantasy,80,3.8,Standard
U-2436,The Matrix,Sci-Fi,172,,Premium
U-4946,Breaking Bad,Crime,120,4.9,Basic
U-4324,Breaking Bad,Crime,32,2.4,Basic
U-9452,Breaking Bad,Crime,83,4.0,Basic
U-4093,Stranger Things,Sci-Fi,132,4.1,Standard
U-4038,Money Heist,Crime,34,4.5,Standard
U-6636,Friends,Comedy,38,3.0,Premium
U-8056,The Matrix,Sci-Fi,161,4.4,Premium
U-7967,The Matrix,Sci-Fi,96,4.4,Basic
U-4451,Friends,Comedy,175,,Premium
U-7781,The Matrix,Sci-Fi,5,4.9,Standard
U-4290,Friends,Comedy,171,4.2,Basic
U-8834,Money Heist,Crime,142,2.7,Standard
U-3719,Inception,Sci-Fi,64,3.1,Basic
U-3565,Inception,Sci-Fi,119,1.7,Standard
U-7625,Stranger Things,Sci-Fi,108,4.1,Basic
U-8462,The Matrix,Sci-Fi,142,2.8,Premium
U-4750,Breaking Bad,Crime,78,3.3,Basic
U-2989,Inception,Sci-Fi,174,2.4,Standard
U-1661,The Dark Knight,Action,128,,Basic
U-9442,The Matrix,Sci-Fi,142,3.5,Premium
U-1748,Money Heist,Crime,87,4.5,Basic
U-4708,Narcos,Crime,47,2.2,Standard
U-4508,Game of Thrones,Fantasy,52,1.9,Basic
U-8924,The Dark Knight,Action,138,,Basic
U-9516,Game of Thrones,Fantasy,165,1.3,Basic
U-4601,Narcos,Crime,32,,Standard
U-1300,The Dark Knight,Action,61,4.8,Basic
U-9213,Friends,Comedy,95,1.8,Basic
U-9652,Inception,Sci-Fi,6,,Basic
U-2956,Interstellar,Sci-Fi,62,4.4,Basic
U-6707,Inception,Sci-Fi,174,4.2,Standard
U-8976,Money Heist,Crime,179,2.3,Standard
U-7806,The Matrix,Sci-Fi,76,3.8,Premium
U-6887,Stranger Things,Sci-Fi,46,3.3,Standard
U-1752,The Matrix,Sci-Fi,130,,Basic
U-9397,Inception,Sci-Fi,133,3.7,Basic
U-8658,Inception,Sci-Fi,43,2.7,Premium
U-5847,Stranger Things,Sci-Fi,121,,Standard
U-3008,Narcos,Crime,140,2.5,Basic
U-7100,The Dark Knight,Action,15,2.5,Premium
U-4486,Narcos,Crime,71,1.6,Standard
U-3179,Friends,Comedy,119,,Basic
U-5992,Interstellar,Sci-Fi,35,2.1,Standard
U-5353,Inception,Sci-Fi,78,4.7,Basic
U-5640,The Dark Knight,Action,22,,Premium
U-6593,Friends,Comedy,49,,Basic
U-2304,Stranger Things,Sci-Fi,157,2.6,Basic
U-1008,Inception,Sci-Fi,151,4.9,Standard
U-8180,Breaking Bad,Crime,177,3.3,Basic
U-2867,Money Heist,Crime,76,2.6,Premium
U-6773,Inception,Sci-Fi,78,,Standard
U-1638,Breaking Bad,Crime,54,3.6,Basic
U-1462,Game of Thrones,Fantasy,113,5.0,Basic
U-5982,Inception,Sci-Fi,19,1.2,Basic
U-3033,Inception,Sci-Fi,126,,Premium
U-3100,Narcos,Crime,118,2.0,Standard
U-2554,Friends,Comedy,43,4.5,Premium
U-6392,Narcos,Crime,69,2.0,Premium
U-9898,Stranger Things,Sci-Fi,135,2.9,Premium
U-7781,Game of Thrones,Fantasy,171,,Premium
U-2814,The Dark Knight,Action,28,4.6,Standard
U-5428,Money Heist,Crime,64,3.3,Premium
U-2710,The Matrix,Sci-Fi,96,2.7,Standard
U-1777,Inception,Sci-Fi,124,2.8,Standard
U-5142,Game of Thrones,Fantasy,110,2.0,Basic
U-1029,Money Heist,Crime,125,2.3,Standard
U-6880,Narcos,Crime,116,1.0,Basic
U-2549,Breaking Bad,Crime,131,2.4,Standard
U-9330,The Dark Knight,Action,14,2.8,Standard
U-5025,Stranger Things,Sci-Fi,83,1.3,Standard
U-5321,Breaking Bad,Crime,91,2.2,Basic
U-5555,The Matrix,Sci-Fi,77,2.5,Standard
U-5084,Money Heist,Crime,69,3.6,Basic
U-5865,Inception,Sci-Fi,94,,Basic
U-8223,Narcos,Crime,44,3.9,Premium
U-4835,Money Heist,Crime,90,,Basic
U-7879,Interstellar,Sci-Fi,110,4.5,Standard
U-5886,Friends,Comedy,19,4.6,Basic
U-2057,The Matrix,Sci-Fi,159,,Standard
U-3076,Friends,Comedy,79,1.7,Standard
U-1165,The Matrix,Sci-Fi,74,4.3,Basic
U-9461,Stranger Things,Sci-Fi,144,4.9,Standard
U-1150,Stranger Things,Sci-Fi,60,2.9,Basic
U-3784,Interstellar,Sci-Fi,77,,Premium
U-4080,Game of Thrones,Fantasy,107,,Basic
U-7732,Breaking Bad,Crime,92,3.0,Basic
U-6818,Narcos,Crime,18,,Basic
U-4615,Inception,Sci-Fi,129,2.7,Standard
U-9447,Money Heist,Crime,97,2.5,Basic
U-8558,Inception,Sci-Fi,119,1.3,Standard
U-8327,Narcos,Crime,33,3.6,Standard
U-8054,The Dark Knight,Action,111,3.0,Basic
U-8280,The Matrix,Sci-Fi,74,4.8,Basic
U-1431,The Matrix,Sci-Fi,79,,Standard
U-4270,Stranger Things,Sci-Fi,69,1.4,Standard
U-2640,The Matrix,Sci-Fi,157,3.0,Basic
U-5878,Interstellar,Sci-Fi,12,,Standard
U-9968,Breaking Bad,Crime,32,1.3,Standard
U-4970,The Dark Knight,Action,174,1.3,Basic
U-6904,The Matrix,Sci-Fi,176,,Standard
U-3147,Narcos,Crime,25,3.5,Basic
U-3707,Interstellar,Sci-Fi,117,3.6,Basic
U-2360,Breaking Bad,Crime,65,3.9,Premium
U-4540,Inception,Sci-Fi,58,2.3,Standard
U-7352,Breaking Bad,Crime,83,3.1,Standard
U-5793,Money Heist,Crime,69,1.5,Standard
U-5929,The Matrix,Sci-Fi,164,4.8,Basic
U-3876,Money Heist,Crime,47,3.1,Premium
U-4974,Friends,Comedy,59,3.5,Basic
U-1886,Narcos,Crime,129,1.4,Basic
U-2694,Friends,Comedy,175,3.8,Premium
U-4298,Interstellar,Sci-Fi,18,,Basic
U-5871,The Matrix,Sci-Fi,54,4.3,Standard
U-4476,Narcos,Crime,146,1.1,Basic
U-8552,Friends,Comedy,155,2.1,Basic
U-3988,Game of Thrones,Fantasy,132,,Basic
U-1293,Breaking Bad,Crime,104,4.8,Premium
U-9774,Interstellar,Sci-Fi,140,3.1,Standard
